Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Dad,2025-06-10 17:16:39,00:00:27,Autoplayed: user action: None; ,Clip 4: STRAW,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:27,00:00:27,DK (Denmark)
Dad,2025-06-06 05:04:36,00:00:01,,3 Body Problem: Season 1: Judgment Day (Episode 5),,Firefox PC (Cadmium),00:04:59,Not latest view,AU (Australia)
Dad,2025-06-06 02:24:29,00:04:51,,3 Body Problem: Season 1: Judgment Day (Episode 5),,Firefox PC (Cadmium),00:04:57,Not latest view,AU (Australia)
Dad,2025-06-06 01:42:04,00:40:01,,3 Body Problem: Season 1: Our Lord (Episode 4),,Firefox PC (Cadmium),00:40:02,00:40:02,AU (Australia)
Dad,2025-06-06 01:37:58,00:00:21,Autoplayed: user action: None; ,Trailer: Civilization VI,TRAILER,Firefox PC (Cadmium),00:00:21,00:00:21,AU (Australia)
Dad,2025-06-05 08:18:52,00:00:01,,3 Body Problem: Season 1: Our Lord (Episode 4),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:01,Not latest view,AU (Australia)
Dad,2025-06-05 08:07:32,00:11:18,,3 Body Problem: Season 1: Destroyer of Worlds (Episode 3),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:49:30,00:49:30,AU (Australia)
Dad,2025-06-05 07:17:27,00:37:54,Autoplayed: user action: User_Interaction; ,3 Body Problem: Season 1: Destroyer of Worlds (Episode 3),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:38:19,Not latest view,AU (Australia)
Dad,2025-06-05 07:16:04,00:01:20,,3 Body Problem: Season 1: Red Coast (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:59:47,00:59:47,AU (Australia)
Dad,2025-06-05 06:20:17,00:43:06,,3 Body Problem: Season 1: Red Coast (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:58:30,Not latest view,AU (Australia)
Dad,2025-06-05 05:46:31,00:15:24,,3 Body Problem: Season 1: Red Coast (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:15:24,Not latest view,AU (Australia)
Dad,2025-06-05 05:25:47,00:20:42,,3 Body Problem: Season 1: Countdown (Episode 1),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:56:34,00:56:34,AU (Australia)
Dad,2025-06-05 05:25:29,00:00:07,Autoplayed: user action: None; ,Pine Gap: Season 1_hook_02_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:07,00:00:07,AU (Australia)
Dad,2025-06-05 05:24:59,00:00:27,Autoplayed: user action: None; ,Sense8 (Trailer),TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:27,00:00:27,AU (Australia)
Dad,2025-06-05 05:24:47,00:00:07,Autoplayed: user action: None; ,Limited Series Genre Specific Moment Clip: Griselda,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:07,00:00:07,AU (Australia)
Dad,2025-06-05 05:24:36,00:00:09,Autoplayed: user action: None; ,Season 1 Genre Specific Moment Clip 4: 3 Body Problem,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:09,00:00:09,AU (Australia)
Dad,2025-06-05 05:23:20,00:00:51,Autoplayed: user action: None; ,Season 1 Moment of High Emotion Clip 2: The Brothers Sun,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:51,00:00:51,AU (Australia)
Dad,2025-06-04 12:01:54,00:13:19,Autoplayed: user action: User_Interaction; ,Dark: Season 2: Ghosts (Episode 3),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:14:41,00:14:41,AU (Australia)
Dad,2025-06-04 11:29:23,00:28:27,Autoplayed: user action: User_Interaction; ,Dark: Season 2: Dark Matter (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:51:23,00:51:23,AU (Australia)
Dad,2025-06-04 11:28:51,00:00:14,Autoplayed: user action: None; ,Love in Taipei_hook_05_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:14,00:00:14,AU (Australia)
Dad,2025-06-04 11:28:31,00:00:04,Autoplayed: user action: None; ,Reagan_hook_primary,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:04,00:00:04,AU (Australia)
Dad,2025-06-04 11:27:43,00:00:40,Autoplayed: user action: None; ,Season 1 Clip 2: F1 ACADEMY,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:40,00:00:40,AU (Australia)
Dad,2025-06-04 11:27:32,00:00:05,Autoplayed: user action: None; ,Season 1 Clip 2: Sara - Woman in the Shadows,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:05,00:00:05,AU (Australia)
Dad,2025-06-04 11:27:17,00:00:06,Autoplayed: user action: None; ,HIT: The Third Case_hook_03,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:06,00:00:06,AU (Australia)
Dad,2025-06-04 11:26:53,00:00:22,Autoplayed: user action: None; ,Trailer: Nonnas,TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:22,00:00:22,AU (Australia)
Dad,2025-06-04 11:26:40,00:00:09,Autoplayed: user action: None; ,Trailer: The Heart Knows,TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:09,00:00:09,AU (Australia)
Dad,2025-06-04 10:49:34,00:31:42,,Don't Move,,Google Chromecast Chromecast with GTV 1080P Set Top Box,01:24:50,01:24:50,AU (Australia)
Dad,2025-06-04 10:49:21,00:00:09,Autoplayed: user action: User_Interaction; ,Clip 3: Don't Move,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:09,00:00:09,AU (Australia)
Dad,2025-06-04 10:48:01,00:01:13,Autoplayed: user action: None; ,Sensory Clip: The Greatest Night in Pop,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:01:13,00:01:13,AU (Australia)
Dad,2025-06-04 10:47:30,00:00:14,Autoplayed: user action: None; ,White Line: Season 1 PVS Clip 5,,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:14,00:00:14,AU (Australia)
Dad,2025-06-04 10:46:57,00:00:21,Autoplayed: user action: None; ,Plot Clip: Hypnotic,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:21,00:00:21,AU (Australia)
Dad,2025-06-04 10:46:17,00:00:03,Autoplayed: user action: None; ,The Gentlemen,,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:03,00:00:03,AU (Australia)
Dad,2025-06-04 04:51:49,01:49:26,,The Gentlemen,,Google Chromecast Chromecast with GTV 1080P Set Top Box,01:49:26,Not latest view,AU (Australia)
Dad,2025-06-04 04:51:41,00:00:05,Autoplayed: user action: User_Interaction; ,The Gentlemen_hook_03_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:05,00:00:05,AU (Australia)
Dad,2025-06-04 04:51:29,00:00:07,Autoplayed: user action: None; ,Hook Clip 5: Inventing Anna,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:07,00:00:07,AU (Australia)
Dad,2025-06-03 23:36:51,00:00:06,Autoplayed: user action: None; ,The Gentlemen_hook_primary_16x9,HOOK,Apple iPhone 16 Pro iPhone,00:00:06,00:00:06,AU (Australia)
Dad,2025-06-03 23:36:43,00:00:05,Autoplayed: user action: None; ,Season 1 Character Intro Clip 3: The Gentlemen,HOOK,Apple iPhone 16 Pro iPhone,00:00:06,00:00:06,AU (Australia)
Dad,2025-06-02 07:50:13,00:00:21,Autoplayed: user action: None; ,Season 2 Clip 5: Mo,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:21,00:00:21,AU (Australia)
Dad,2025-06-02 07:49:35,00:00:31,Autoplayed: user action: None; ,Brassic: Season 1_hook_01_backfill,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:31,00:00:31,AU (Australia)
Dad,2025-06-02 07:48:52,00:00:26,Autoplayed: user action: None; ,Les Norton: Season 1_hook_01_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:26,00:00:26,AU (Australia)
Dad,2025-06-02 07:48:44,00:00:05,Autoplayed: user action: None; ,The Fall Guy_hook_01_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:05,00:00:05,AU (Australia)
Dad,2025-06-02 07:47:42,00:00:50,Autoplayed: user action: None; ,Season 1 Teaser 5: The Eternaut,TEASER_TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:50,00:00:50,AU (Australia)
Dad,2025-06-02 07:46:59,00:00:39,Autoplayed: user action: None; ,Listing Melbourne: Season 1_hook_primary,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:39,00:00:39,AU (Australia)
Dad,2025-06-02 07:46:43,00:00:04,Autoplayed: user action: None; ,Retro_hook_02,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:04,00:00:04,AU (Australia)
Dad,2025-06-02 07:45:56,00:00:43,Autoplayed: user action: None; ,Trailer: The Heart Knows,TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:43,Not latest view,AU (Australia)
Dad,2025-06-02 07:45:41,00:00:08,Autoplayed: user action: None; ,The Dive_hook_01_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:08,00:00:08,AU (Australia)
Dad,2025-06-02 07:45:31,00:00:04,Autoplayed: user action: None; ,Paycheck_hook_primary_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:04,00:00:04,AU (Australia)
Dad,2025-06-02 07:45:03,00:00:25,Autoplayed: user action: None; ,Clip: A Widow's Game,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:25,00:00:25,AU (Australia)
Dad,2025-06-02 07:44:55,00:00:06,Autoplayed: user action: None; ,Season 7 Trailer: Formula 1: Drive to Survive,TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:06,00:00:06,AU (Australia)
Dad,2025-06-02 07:44:33,00:00:12,Autoplayed: user action: User_Interaction; ,The Gentlemen_hook_03_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:12,00:00:12,AU (Australia)
Dad,2025-06-02 07:43:47,00:00:36,Autoplayed: user action: None; ,The Seat_hook_05,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:36,00:00:36,AU (Australia)
Dad,2025-06-02 07:42:56,00:00:47,Autoplayed: user action: None; ,Special Ops: Lioness: Season 1_hook_04_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:47,00:00:47,AU (Australia)
Dad,2025-06-02 07:42:38,00:00:06,Autoplayed: user action: None; ,Limited Series Trailer : Adolescence,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:06,00:00:06,AU (Australia)
Dad,2025-06-02 07:41:11,00:01:25,Autoplayed: user action: None; ,Limited Series Clip 2: Sirens,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:01:25,00:01:25,AU (Australia)
Dad,2025-06-02 07:40:59,00:00:06,Autoplayed: user action: None; ,The Mysterious,,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:06,00:00:06,AU (Australia)
Dad,2025-05-31 06:11:27,00:00:22,Autoplayed: user action: None; ,BlackBerry_hook_primary_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:22,00:00:22,AU (Australia)
Dad,2025-05-31 06:11:14,00:00:02,Autoplayed: user action: None; ,Manifest: Season 1: Pilot (Episode 1),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:02,00:00:02,AU (Australia)
Dad,2025-05-31 06:10:31,00:00:06,Autoplayed: user action: User_Interaction; ,Teaser 2: Brand New Cherry Flavor,TEASER_TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:06,00:00:06,AU (Australia)
Dad,2025-05-31 06:10:05,00:00:04,Autoplayed: user action: None; ,The Madness: Limited Series: Pilot (Episode 1),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:04,00:00:04,AU (Australia)
Dad,2025-05-31 06:09:49,00:00:09,Autoplayed: user action: User_Interaction; ,Bloodline (Trailer),TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:09,00:00:09,AU (Australia)
Dad,2025-05-31 06:09:30,00:00:01,Autoplayed: user action: None; ,Bloodline: Season 1: Part 1 (Episode 1),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:01,00:00:01,AU (Australia)
Dad,2025-05-31 06:08:18,00:01:09,,Bloodline (Trailer),TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:01:09,Not latest view,AU (Australia)
Dad,2025-05-31 05:34:09,00:31:45,,The Gentlemen: Season 1: The Gospel According to Bobby Glass (Episode 8),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:40:25,00:40:25,AU (Australia)
Dad,2025-05-31 05:26:41,00:07:24,,The Gentlemen: Season 1: Not Without Danger (Episode 7),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:40:19,00:40:19,AU (Australia)
Dad,2025-05-31 02:05:36,00:34:08,Autoplayed: user action: User_Interaction; ,The Gentlemen: Season 1: Not Without Danger (Episode 7),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:32:57,Not latest view,AU (Australia)
Dad,2025-05-31 02:04:52,00:00:35,Autoplayed: user action: None; ,Season 1 Trailer 2: Narcos: Mexico,TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:35,00:00:35,AU (Australia)
Dad,2025-05-30 13:07:17,00:00:01,Autoplayed: user action: None; ,The Gentlemen: Season 1: Not Without Danger (Episode 7),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:06,Not latest view,AU (Australia)
Dad,2025-05-30 12:38:38,00:28:35,Autoplayed: user action: User_Interaction; ,The Gentlemen: Season 1: All Eventualities (Episode 6),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:45:24,00:45:24,AU (Australia)
Dad,2025-05-28 08:59:10,00:00:06,Autoplayed: user action: None; ,Supporting Character Clip 2: Trigger Warning,HOOK,Firefox PC (Cadmium),00:00:06,00:00:06,AU (Australia)
Dad,2025-05-28 08:55:53,00:00:05,Autoplayed: user action: None; ,Cellular_hook_02_16x9,HOOK,Firefox PC (Cadmium),00:00:05,00:00:05,AU (Australia)
Dad,2025-05-28 08:55:21,00:00:05,Autoplayed: user action: None; ,Trailer: GTA: San Andreas - The Definitive Edition,TRAILER,Firefox PC (Cadmium),00:00:05,00:00:05,AU (Australia)
Dad,2025-05-26 07:26:30,00:16:45,Autoplayed: user action: User_Interaction; ,The Gentlemen: Season 1: All Eventualities (Episode 6),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:16:50,Not latest view,AU (Australia)
Dad,2025-05-26 06:45:33,00:40:54,,The Gentlemen: Season 1: I've Hundreds of Cousins (Episode 5),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:40:59,00:40:59,AU (Australia)
Dad,2025-05-26 06:34:59,00:10:31,,The Gentlemen: Season 1: An Unsympathetic Gentleman (Episode 4),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:38:13,00:38:13,AU (Australia)
Dad,2025-05-26 06:34:36,00:00:09,,The Gentlemen: Season 1: Tackle Tommy Woo Woo (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:15,00:00:15,AU (Australia)
Dad,2025-05-26 03:15:04,00:27:39,,The Gentlemen: Season 1: An Unsympathetic Gentleman (Episode 4),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:27:44,Not latest view,AU (Australia)
Dad,2025-05-26 03:01:22,00:13:24,,The Gentlemen: Season 1: Where's My Weed At? (Episode 3),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:47:10,00:47:10,AU (Australia)
Dad,2025-05-26 03:01:05,00:00:09,,The Gentlemen: Season 1: Tackle Tommy Woo Woo (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:09,Not latest view,AU (Australia)
Dad,2025-05-26 01:26:55,00:28:15,Autoplayed: user action: User_Interaction; ,The Gentlemen: Season 1: Where's My Weed At? (Episode 3),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:29:56,Not latest view,AU (Australia)
Dad,2025-05-26 01:22:40,00:04:08,Autoplayed: user action: User_Interaction; ,The Gentlemen: Season 1: Tackle Tommy Woo Woo (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,01:00:05,Not latest view,AU (Australia)
Dad,2025-05-26 01:22:29,00:00:05,,The Gentlemen: Season 1: Tackle Tommy Woo Woo (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:57:28,Not latest view,AU (Australia)
Dad,2025-05-26 00:55:24,00:00:12,Autoplayed: user action: None; ,The Gentlemen: Season 1: Tackle Tommy Woo Woo (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:57:24,Not latest view,AU (Australia)
Dad,2025-05-26 00:51:43,00:00:01,Autoplayed: user action: None; ,Griselda: Limited Series: Lady Comes to Town (Episode 1),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:02,00:00:02,AU (Australia)
Dad,2025-05-26 00:51:07,00:00:12,Autoplayed: user action: None; ,Who is Erin Carter?: Limited Series: Episode 1,,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:12,00:00:12,AU (Australia)
Dad,2025-05-26 00:50:48,00:00:15,Autoplayed: user action: User_Interaction; ,Limited Series Plot Clip: Who is Erin Carter?,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:15,00:00:15,AU (Australia)
Dad,2025-05-26 00:50:32,00:00:08,Autoplayed: user action: None; ,Limited Series Villain / Antagonist Clip: Griselda,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:08,00:00:08,AU (Australia)
Dad,2025-05-26 00:50:17,00:00:03,Autoplayed: user action: None; ,Inside Man: Most Wanted,,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:23:16,00:23:16,AU (Australia)
Dad,2025-05-26 00:50:05,00:00:03,Autoplayed: user action: None; ,The Electric State,,Google Chromecast Chromecast with GTV 1080P Set Top Box,01:54:06,01:54:06,AU (Australia)
Dad,2025-05-26 00:40:59,00:08:26,,iHostage,,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:15:38,00:15:38,AU (Australia)
Dad,2025-05-26 00:40:51,00:00:05,Autoplayed: user action: User_Interaction; ,Trailer : iHostage,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:05,00:00:05,AU (Australia)
Dad,2025-05-26 00:17:48,00:22:13,,Inside Man: Most Wanted,,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:23:15,Not latest view,AU (Australia)
Dad,2025-05-26 00:17:39,00:00:06,Autoplayed: user action: User_Interaction; ,Inside Man 2_hook_04_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:06,00:00:06,AU (Australia)
Dad,2025-05-26 00:17:02,00:00:06,Autoplayed: user action: None; ,Manifest: Season 1_hook_primary_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:06,00:00:06,AU (Australia)
Dad,2025-05-26 00:16:36,00:00:08,Autoplayed: user action: None; ,Trailer: WWE Money in the Bank,TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:08,00:00:08,AU (Australia)
Dad,2025-05-26 00:16:20,00:00:08,Autoplayed: user action: None; ,Season 1 Clip 4: American Manhunt: Osama Bin Laden,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:08,00:00:08,AU (Australia)
Dad,2025-05-26 00:14:02,00:02:12,Autoplayed: user action: User_Interaction; ,Bloodline (Trailer),TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:02:12,Not latest view,AU (Australia)
Dad,2025-05-19 05:26:02,00:21:45,Autoplayed: user action: User_Interaction; ,Dark: Season 2: Dark Matter (Episode 2),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:22:58,Not latest view,AU (Australia)
Dad,2025-05-19 04:36:50,00:49:09,,Dark: Season 2: Beginnings and Endings (Episode 1),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:50:23,00:50:23,AU (Australia)
Dad,2025-05-19 04:33:16,00:03:30,,Dark: Season 1 (Recap),RECAP,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:03:30,00:03:30,AU (Australia)
Dad,2025-05-19 04:32:58,00:00:06,Autoplayed: user action: User_Interaction; ,The Mysterious,,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:06,Not latest view,AU (Australia)
Dad,2025-05-19 04:32:15,00:00:36,Autoplayed: user action: None; ,Limited Series Clip 3: The Madness,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:36,00:00:36,AU (Australia)
Dad,2025-05-19 04:31:46,00:00:25,Autoplayed: user action: None; ,Clip 9: Air Force Elite: Thunderbirds,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:25,00:00:25,AU (Australia)
Dad,2025-05-19 04:31:23,00:00:19,Autoplayed: user action: None; ,Trailer: Sirens,TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:19,00:00:19,AU (Australia)
Dad,2025-05-09 20:49:14,00:01:49,Autoplayed: user action: None; ,Limited Series Trailer: The Madness,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:01:49,00:01:49,DK (Denmark)
Dad,2025-05-09 19:24:59,01:22:52,,Inside Man: Most Wanted,,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,01:43:24,Not latest view,DK (Denmark)
Dad,2025-05-09 19:03:32,00:20:33,,Inside Man: Most Wanted,,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:20:33,Not latest view,DK (Denmark)
Dad,2025-05-09 19:03:26,00:00:04,Autoplayed: user action: User_Interaction; ,Inside Man 2_hook_04_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:04,Not latest view,DK (Denmark)
Dad,2025-05-09 19:02:56,00:00:13,Autoplayed: user action: None; ,Trailer: Hypnotic,TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:13,00:00:13,DK (Denmark)
Dad,2025-05-09 19:02:45,00:00:08,Autoplayed: user action: None; ,Dirty Money: Season 1_hook_06_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:08,00:00:08,DK (Denmark)
Dad,2025-05-09 19:02:32,00:00:07,Autoplayed: user action: None; ,Teaser: Brand New Cherry Flavor,TEASER_TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:07,00:00:07,DK (Denmark)
Dad,2025-05-09 19:02:22,00:00:08,Autoplayed: user action: None; ,Teaser 2: Troll,TEASER_TRAILER,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:08,00:00:08,DK (Denmark)
Dad,2025-05-09 19:01:27,00:00:22,Autoplayed: user action: None; ,Limited Series Moment of High Emotion Clip: Who is Erin Carter?,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:22,00:00:22,DK (Denmark)
Dad,2025-05-09 19:00:59,00:00:05,Autoplayed: user action: None; ,Inside Man 2_hook_04_16x9,HOOK,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,00:00:05,Not latest view,DK (Denmark)
